"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Opencart","0","Main page","3","0","Сurrency","0"
"0","Opencart","0","Product page","3","0","Addition","0"
"0","Opencart","0","Main page","1","0","Login","0"
"0","Opencart","0","Registration page","1","0","Registration","0"
"0","Opencart","0","Main page","2","0","Elements","0"
"0","Opencart","0","Main page","1","0","Search","0"
"0","Opencart","0","Admin page","1","0","Login","0"
